Topic,ID,Start Time,File Size (MB),File Count,Total Views,Total Downloads,Last Accessed,Auto Delete Status,Auto Delete Date
Tuhfa Reading,893 556 039,"Sep 20, 2023 08:00:53 PM",153.3679,2,0,2,"Oct 12, 2023 05:09:30 AM",false,
Tuhfa Reading,893 556 039,"Sep 6, 2023 08:00:23 PM",175.6314,2,11,3,"Oct 7, 2023 07:46:08 PM",false,
Tuhfa Reading,893 556 039,"Aug 30, 2023 07:59:49 PM",137.4723,2,0,2,"Sep 13, 2023 11:25:23 AM",false,
Tuhfa Reading,893 556 039,"Aug 23, 2023 07:59:41 PM",143.6212,2,0,4,"Sep 13, 2023 11:25:16 AM",false,
Tuhfa Reading,893 556 039,"Aug 16, 2023 07:58:49 PM",161.4495,2,0,3,"Aug 22, 2023 10:19:08 AM",false,
Tuhfa Reading,893 556 039,"Aug 9, 2023 07:58:48 PM",128.4472,2,0,1,"Aug 20, 2023 12:36:08 PM",false,
Tuhfa Reading,893 556 039,"Aug 2, 2023 07:59:11 PM",183.8450,3,0,2,"Aug 20, 2023 12:36:03 PM",false,
Tuhfa Reading,893 556 039,"Jul 26, 2023 08:03:01 PM",136.6934,3,5,1,"Aug 20, 2023 12:36:00 PM",false,
Tuhfa Reading,893 556 039,"Jul 19, 2023 08:00:17 PM",146.3057,3,0,1,"Aug 20, 2023 12:35:57 PM",false,
Tuhfa Reading,893 556 039,"Jul 12, 2023 07:59:39 PM",156.8465,3,2,1,"Aug 20, 2023 12:35:54 PM",false,
Tuhfa Reading,893 556 039,"Jul 5, 2023 08:01:16 PM",161.2002,2,0,1,"Aug 20, 2023 12:35:49 PM",false,
Tuhfa Reading,893 556 039,"Jun 21, 2023 08:57:37 PM",149.3181,2,0,1,"Aug 20, 2023 12:35:45 PM",false,
Tuhfa Reading,893 556 039,"Jun 14, 2023 09:00:07 PM",208.1136,2,0,1,"Aug 20, 2023 12:35:42 PM",false,
Tuhfa Reading,893 556 039,"Jun 7, 2023 08:58:53 PM",0.2906,2,0,0,,false,
Tuhfa Reading,893 556 039,"May 31, 2023 09:00:21 PM",158.4656,3,3,3,"Jun 16, 2023 05:55:45 AM",false,
Tuhfa Reading,893 556 039,"May 24, 2023 08:59:56 PM",121.2701,2,0,1,"Jun 4, 2023 09:55:09 AM",false,
